INFO 2025-10-08 08:23:00,888 autoreload 22463 140704639274432 Watching for file changes with StatReloader
INFO 2025-10-08 08:23:07,182 basehttp 22463 123145444634624 "GET /api/list-media-files/ HTTP/1.1" 200 327
INFO 2025-10-08 08:26:08,120 autoreload 22463 140704639274432 /Users/mak/Desktop/IT/JOB/GREEN_MILE/green_mile_project/main_app/urls.py changed, reloading.
INFO 2025-10-08 08:26:09,905 autoreload 23584 140704639274432 Watching for file changes with StatReloader
INFO 2025-10-08 08:26:50,235 autoreload 23584 140704639274432 /Users/mak/Desktop/IT/JOB/GREEN_MILE/green_mile_project/main_app/urls.py changed, reloading.
INFO 2025-10-08 08:26:51,330 autoreload 23736 140704639274432 Watching for file changes with StatReloader
INFO 2025-10-08 08:27:22,022 autoreload 24028 140704639274432 Watching for file changes with StatReloader
INFO 2025-10-08 08:27:25,865 basehttp 24028 123145518514176 "GET /certificate/ HTTP/1.1" 200 104033
WARNING 2025-10-08 08:27:26,063 log 24028 123145518514176 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-10-08 08:27:26,070 basehttp 24028 123145518514176 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 179
INFO 2025-10-08 08:27:26,078 basehttp 24028 123145535303680 "GET /static/css/main_page.css HTTP/1.1" 304 0
INFO 2025-10-08 08:27:26,081 basehttp 24028 123145552093184 "GET /static/css/tailwind.output.css HTTP/1.1" 304 0
INFO 2025-10-08 08:27:26,103 basehttp 24028 123145552093184 "GET /static/img/logo.png HTTP/1.1" 304 0
INFO 2025-10-08 08:27:26,103 basehttp 24028 123145535303680 "GET /static/img/p1.png HTTP/1.1" 304 0
INFO 2025-10-08 08:27:26,144 basehttp 24028 123145535303680 "GET /static/img/p2.png HTTP/1.1" 304 0
INFO 2025-10-08 08:27:26,173 basehttp 24028 123145535303680 "GET /static/img/p3.png HTTP/1.1" 304 0
WARNING 2025-10-08 08:27:27,735 log 24028 123145535303680 Not Found: /media/certificate_templates/5327800875516818513.jpg
WARNING 2025-10-08 08:27:27,740 log 24028 123145552093184 Not Found: /media/certificate_templates/default-elegant_mybb8sZ.jpg
WARNING 2025-10-08 08:27:27,748 log 24028 123145518514176 Not Found: /media/certificate_templates/default-elegant_CkIp04K.jpg
WARNING 2025-10-08 08:27:27,749 basehttp 24028 123145535303680 "GET /media/certificate_templates/5327800875516818513.jpg HTTP/1.1" 404 179
WARNING 2025-10-08 08:27:27,752 basehttp 24028 123145552093184 "GET /media/certificate_templates/default-elegant_mybb8sZ.jpg HTTP/1.1" 404 179
WARNING 2025-10-08 08:27:27,769 basehttp 24028 123145518514176 "GET /media/certificate_templates/default-elegant_CkIp04K.jpg HTTP/1.1" 404 179
INFO 2025-10-08 09:19:17,930 autoreload 24028 140704639274432 /Users/mak/Desktop/IT/JOB/GREEN_MILE/green_mile_project/main_app/urls.py changed, reloading.
INFO 2025-10-08 09:19:21,391 autoreload 33851 140704639274432 Watching for file changes with StatReloader
INFO 2025-10-08 09:19:24,250 autoreload 33851 140704639274432 /Users/mak/Desktop/IT/JOB/GREEN_MILE/green_mile_project/main_app/urls.py changed, reloading.
INFO 2025-10-08 09:19:37,767 autoreload 34028 140704639274432 Watching for file changes with StatReloader
INFO 2025-10-08 09:19:57,275 autoreload 34028 140704639274432 /Users/mak/Desktop/IT/JOB/GREEN_MILE/green_mile_project/green_mile_project/urls.py changed, reloading.
INFO 2025-10-08 09:19:58,352 autoreload 34113 140704639274432 Watching for file changes with StatReloader
INFO 2025-10-08 09:20:54,062 autoreload 34502 140704639274432 Watching for file changes with StatReloader
INFO 2025-10-08 09:20:58,319 basehttp 34502 123145390112768 "GET / HTTP/1.1" 200 79389
INFO 2025-10-08 09:20:58,968 basehttp 34502 123145390112768 "GET /static/css/tailwind.output.css HTTP/1.1" 304 0
INFO 2025-10-08 09:20:58,972 basehttp 34502 123145390112768 "GET /static/css/main_page.css HTTP/1.1" 304 0
INFO 2025-10-08 09:20:58,979 basehttp 34502 123145390112768 "GET /static/img/logo.png HTTP/1.1" 304 0
INFO 2025-10-08 09:20:58,982 basehttp 34502 123145406902272 "GET /static/img/cutted-forest.png HTTP/1.1" 304 0
INFO 2025-10-08 09:20:59,044 basehttp 34502 123145406902272 "GET /static/img/beetle-icon.png HTTP/1.1" 304 0
INFO 2025-10-08 09:20:59,059 basehttp 34502 123145406902272 "GET /static/img/cutting-icon.png HTTP/1.1" 304 0
INFO 2025-10-08 09:20:59,097 basehttp 34502 123145406902272 "GET /static/img/fire-icon.png HTTP/1.1" 304 0
INFO 2025-10-08 09:20:59,098 basehttp 34502 123145390112768 "GET /static/js/video.js HTTP/1.1" 304 0
INFO 2025-10-08 09:20:59,152 basehttp 34502 123145390112768 "GET /static/js/card.js HTTP/1.1" 304 0
INFO 2025-10-08 09:20:59,175 basehttp 34502 123145390112768 "GET /static/img/pollution-icon.png HTTP/1.1" 304 0
INFO 2025-10-08 09:21:00,417 basehttp 34502 123145423691776 "GET /static/videos/fire.mp4 HTTP/1.1" 304 0
INFO 2025-10-08 09:21:00,419 basehttp 34502 123145390112768 "GET /static/videos/cutting.mp4 HTTP/1.1" 304 0
INFO 2025-10-08 09:21:00,422 basehttp 34502 123145406902272 "GET /static/videos/beetle.mp4 HTTP/1.1" 304 0
INFO 2025-10-08 09:21:00,554 basehttp 34502 123145406902272 "GET /static/videos/pollution.mp4 HTTP/1.1" 304 0
INFO 2025-10-08 09:21:00,646 basehttp 34502 123145406902272 "GET /static/img/hero-bg-2.png HTTP/1.1" 304 0
INFO 2025-10-08 09:21:09,928 basehttp 34502 123145390112768 "GET /certificate/ HTTP/1.1" 200 104033
INFO 2025-10-08 09:21:09,996 basehttp 34502 123145390112768 "GET /static/img/p1.png HTTP/1.1" 304 0
INFO 2025-10-08 09:21:10,000 basehttp 34502 123145406902272 "GET /static/img/p2.png HTTP/1.1" 304 0
INFO 2025-10-08 09:21:10,026 basehttp 34502 123145406902272 "GET /static/img/p3.png HTTP/1.1" 304 0
WARNING 2025-10-08 09:21:11,377 log 34502 123145406902272 Not Found: /media/certificate_templates/5327800875516818513.jpg
WARNING 2025-10-08 09:21:11,378 log 34502 123145390112768 Not Found: /media/certificate_templates/default-elegant_mybb8sZ.jpg
WARNING 2025-10-08 09:21:11,378 log 34502 123145423691776 Not Found: /media/certificate_templates/default-elegant_CkIp04K.jpg
WARNING 2025-10-08 09:21:11,380 basehttp 34502 123145406902272 "GET /media/certificate_templates/5327800875516818513.jpg HTTP/1.1" 404 179
WARNING 2025-10-08 09:21:11,382 basehttp 34502 123145390112768 "GET /media/certificate_templates/default-elegant_mybb8sZ.jpg HTTP/1.1" 404 179
WARNING 2025-10-08 09:21:11,386 basehttp 34502 123145423691776 "GET /media/certificate_templates/default-elegant_CkIp04K.jpg HTTP/1.1" 404 179
WARNING 2025-10-08 09:21:16,592 log 34502 123145390112768 Not Found: /media/certificate_templates/default-elegant_mybb8sZ.jpg
WARNING 2025-10-08 09:21:16,596 log 34502 123145406902272 Not Found: /media/certificate_templates/default-modern_1.jpg
WARNING 2025-10-08 09:21:16,599 log 34502 123145423691776 Not Found: /media/certificate_templates/default-modern_wJ6Nczo.jpg
WARNING 2025-10-08 09:21:16,600 basehttp 34502 123145390112768 "GET /media/certificate_templates/default-elegant_mybb8sZ.jpg HTTP/1.1" 404 179
WARNING 2025-10-08 09:21:16,602 basehttp 34502 123145406902272 "GET /media/certificate_templates/default-modern_1.jpg HTTP/1.1" 404 179
WARNING 2025-10-08 09:21:16,604 basehttp 34502 123145423691776 "GET /media/certificate_templates/default-modern_wJ6Nczo.jpg HTTP/1.1" 404 179
INFO 2025-10-08 09:21:16,627 basehttp 34502 123145423691776 "GET /static/img/default-modern.jpg HTTP/1.1" 200 8544
WARNING 2025-10-08 09:21:23,762 log 34502 123145390112768 Not Found: /media/certificate_templates/default-modern_1.jpg
WARNING 2025-10-08 09:21:23,763 basehttp 34502 123145390112768 "GET /media/certificate_templates/default-modern_1.jpg HTTP/1.1" 404 179
WARNING 2025-10-08 09:21:27,782 log 34502 123145390112768 Not Found: /media/certificate_templates/default-elegant_mybb8sZ.jpg
WARNING 2025-10-08 09:21:27,790 log 34502 123145406902272 Not Found: /media/certificate_templates/default-modern_1.jpg
WARNING 2025-10-08 09:21:27,793 log 34502 123145423691776 Not Found: /media/certificate_templates/default-modern_wJ6Nczo.jpg
WARNING 2025-10-08 09:21:27,795 basehttp 34502 123145390112768 "GET /media/certificate_templates/default-elegant_mybb8sZ.jpg HTTP/1.1" 404 179
WARNING 2025-10-08 09:21:27,799 basehttp 34502 123145406902272 "GET /media/certificate_templates/default-modern_1.jpg HTTP/1.1" 404 179
WARNING 2025-10-08 09:21:27,804 basehttp 34502 123145423691776 "GET /media/certificate_templates/default-modern_wJ6Nczo.jpg HTTP/1.1" 404 179
